 

stn;time;tre200s0;rre150z0
NABBER;202209021500;20.8;0.0
NABBER;202209021510;20.4;0.0
NABBER;202209021520;20.3;0.0
NABBER;202209021530;20.2;0.0
NABBER;202209021540;20.4;0.0
NABBER;202209021550;20.3;0.0
NABBER;202209021600;20.7;0.0
NABBER;202209021610;20.9;0.0
NABBER;202209021620;21.3;0.0
NABBER;202209021630;20.4;0.0
NABBER;202209021640;20.3;0.0
NABBER;202209021650;20.5;0.0
NABBER;202209021700;20.0;0.0
NABBER;202209021710;19.9;0.0
NABBER;202209021720;20.2;0.0
NABBER;202209021730;20.4;0.0
NABBER;202209021740;20.3;0.0
NABBER;202209021750;20.1;0.0
NABBER;202209021800;19.7;0.0
NABBER;202209021810;19.4;0.0
NABBER;202209021820;19.0;0.0
NABBER;202209021830;18.7;0.0
NABBER;202209021840;18.6;0.0
NABBER;202209021850;18.5;0.0
NABBER;202209021900;18.4;0.0
NABBER;202209021910;18.3;0.0
NABBER;202209021920;18.1;0.0
NABBER;202209021930;18.0;0.0
NABBER;202209021940;17.9;0.0
NABBER;202209021950;18.0;0.0
NABBER;202209022000;18.0;0.0
NABBER;202209022010;18.0;0.0
NABBER;202209022020;18.0;0.0
NABBER;202209022030;17.8;0.0
NABBER;202209022040;17.7;0.0
NABBER;202209022050;17.5;0.0
NABBER;202209022100;17.4;0.0
NABBER;202209022110;17.4;0.0
NABBER;202209022120;17.3;0.0
NABBER;202209022130;17.2;0.0
NABBER;202209022140;17.2;0.0
NABBER;202209022150;17.1;0.0
NABBER;202209022200;16.9;0.0
NABBER;202209022210;16.9;0.0
NABBER;202209022220;16.5;0.0
NABBER;202209022230;16.5;0.0
NABBER;202209022240;16.7;0.2
NABBER;202209022250;16.3;3.6
NABBER;202209022300;16.0;1.2
NABBER;202209022310;16.0;0.3
NABBER;202209022320;16.2;0.1
NABBER;202209022330;15.8;0.0
NABBER;202209022340;15.5;0.0
NABBER;202209022350;15.5;0.0
NABBER;202209030000;15.4;0.0
NABBER;202209030010;15.4;0.0
NABBER;202209030020;15.7;0.0
NABBER;202209030030;15.7;0.0
NABBER;202209030040;15.7;0.0
