 

stn;time;gre000z0
NABBER;202209020600;128
NABBER;202209020610;132
NABBER;202209020620;88
NABBER;202209020630;198
NABBER;202209020640;239
NABBER;202209020650;257
NABBER;202209020700;270
NABBER;202209020710;285
NABBER;202209020720;380
NABBER;202209020730;367
NABBER;202209020740;442
NABBER;202209020750;508
NABBER;202209020800;560
NABBER;202209020810;437
NABBER;202209020820;442
NABBER;202209020830;187
NABBER;202209020840;162
NABBER;202209020850;160
NABBER;202209020900;422
NABBER;202209020910;526
NABBER;202209020920;643
NABBER;202209020930;687
NABBER;202209020940;701
NABBER;202209020950;719
NABBER;202209021000;727
NABBER;202209021010;741
NABBER;202209021020;744
NABBER;202209021030;753
NABBER;202209021040;769
NABBER;202209021050;788
NABBER;202209021100;796
NABBER;202209021110;781
NABBER;202209021120;719
NABBER;202209021130;641
NABBER;202209021140;726
NABBER;202209021150;745
NABBER;202209021200;686
NABBER;202209021210;631
NABBER;202209021220;566
NABBER;202209021230;606
NABBER;202209021240;371
NABBER;202209021250;234
NABBER;202209021300;213
NABBER;202209021310;193
NABBER;202209021320;170
NABBER;202209021330;123
NABBER;202209021340;107
NABBER;202209021350;117
NABBER;202209021400;95
NABBER;202209021410;71
NABBER;202209021420;79
NABBER;202209021430;160
NABBER;202209021440;206
NABBER;202209021450;163
NABBER;202209021500;137
NABBER;202209021510;77
NABBER;202209021520;71
NABBER;202209021530;75
NABBER;202209021540;106
NABBER;202209021550;60
NABBER;202209021600;63
NABBER;202209021610;51
NABBER;202209021620;54
NABBER;202209021630;62
NABBER;202209021640;52
NABBER;202209021650;47
NABBER;202209021700;49
NABBER;202209021710;83
NABBER;202209021720;96
NABBER;202209021730;78
NABBER;202209021740;63
NABBER;202209021750;44
NABBER;202209021800;20
NABBER;202209021810;-1
NABBER;202209021820;-6
NABBER;202209021830;-6
NABBER;202209021840;-7
NABBER;202209021850;-6
NABBER;202209021900;-6
NABBER;202209021910;-5
NABBER;202209021920;-5
NABBER;202209021930;-6
NABBER;202209021940;-5
NABBER;202209021950;-4
NABBER;202209022000;-4
NABBER;202209022010;-4
NABBER;202209022020;-4
NABBER;202209022030;-5
NABBER;202209022040;-5
NABBER;202209022050;-6
NABBER;202209022100;-6
NABBER;202209022110;-6
NABBER;202209022120;-6
NABBER;202209022130;-6
NABBER;202209022140;-5
NABBER;202209022150;-6
NABBER;202209022200;-5
NABBER;202209022210;-4
NABBER;202209022220;-5
NABBER;202209022230;-4
NABBER;202209022240;-7
NABBER;202209022250;-5
NABBER;202209022300;-5
NABBER;202209022310;-3
NABBER;202209022320;-3
NABBER;202209022330;-3
NABBER;202209022340;-3
NABBER;202209022350;-3
NABBER;202209030000;-2
NABBER;202209030010;-2
NABBER;202209030020;-2
NABBER;202209030030;-2
NABBER;202209030040;-2
NABBER;202209030050;-3
NABBER;202209030100;-3
NABBER;202209030110;-3
NABBER;202209030120;-3
NABBER;202209030130;-4
NABBER;202209030140;-3
NABBER;202209030150;-3
NABBER;202209030200;-3
NABBER;202209030210;-4
NABBER;202209030220;-4
NABBER;202209030230;-3
NABBER;202209030240;-3
NABBER;202209030250;-3
NABBER;202209030300;-3
NABBER;202209030310;-3
NABBER;202209030320;-4
NABBER;202209030330;-4
NABBER;202209030340;-3
NABBER;202209030350;-3
NABBER;202209030400;-3
NABBER;202209030410;-3
NABBER;202209030420;-3
NABBER;202209030430;-3
NABBER;202209030440;-3
NABBER;202209030450;-2
NABBER;202209030500;0
NABBER;202209030510;1
NABBER;202209030520;4
NABBER;202209030530;11
NABBER;202209030540;24
NABBER;202209030550;107
NABBER;202209030600;146
NABBER;202209030610;168
NABBER;202209030620;209
NABBER;202209030630;225
NABBER;202209030640;254
NABBER;202209030650;246
NABBER;202209030700;240
NABBER;202209030710;360
NABBER;202209030720;246
NABBER;202209030730;172
NABBER;202209030740;65
NABBER;202209030750;45
NABBER;202209030800;38
NABBER;202209030810;68
NABBER;202209030820;45
NABBER;202209030830;49
NABBER;202209030840;128
NABBER;202209030850;79
NABBER;202209030900;33
NABBER;202209030910;16
NABBER;202209030920;32
NABBER;202209030930;39
NABBER;202209030940;38
NABBER;202209030950;41
NABBER;202209031000;132
NABBER;202209031010;264
NABBER;202209031020;611
NABBER;202209031030;676
NABBER;202209031040;377
NABBER;202209031050;827
NABBER;202209031100;423
NABBER;202209031110;203
NABBER;202209031120;162
NABBER;202209031130;242
NABBER;202209031140;270
NABBER;202209031150;890
NABBER;202209031200;899
NABBER;202209031210;942
NABBER;202209031220;654
NABBER;202209031230;615
NABBER;202209031240;651
NABBER;202209031250;394
NABBER;202209031300;365
NABBER;202209031310;500
NABBER;202209031320;471
NABBER;202209031330;397
NABBER;202209031340;288
NABBER;202209031350;724
NABBER;202209031400;239
NABBER;202209031410;142
NABBER;202209031420;309
NABBER;202209031430;504
NABBER;202209031440;540
NABBER;202209031450;558
NABBER;202209031500;505
NABBER;202209031510;339
NABBER;202209031520;319
NABBER;202209031530;418
NABBER;202209031540;392
NABBER;202209031550;359
NABBER;202209031600;332
NABBER;202209031610;294
NABBER;202209031620;174
NABBER;202209031630;234
NABBER;202209031640;204
NABBER;202209031650;129
NABBER;202209031700;41
NABBER;202209031710;107
NABBER;202209031720;102
NABBER;202209031730;43
NABBER;202209031740;14
NABBER;202209031750;5
NABBER;202209031800;1
NABBER;202209031810;-4
NABBER;202209031820;-7
NABBER;202209031830;-8
NABBER;202209031840;-8
NABBER;202209031850;-8
NABBER;202209031900;-8
NABBER;202209031910;-8
NABBER;202209031920;-7
NABBER;202209031930;-7
NABBER;202209031940;-7
NABBER;202209031950;-6
NABBER;202209032000;-6
NABBER;202209032010;-6
NABBER;202209032020;-6
NABBER;202209032030;-6
NABBER;202209032040;-6
NABBER;202209032050;-6
NABBER;202209032100;-6
NABBER;202209032110;-6
NABBER;202209032120;-6
NABBER;202209032130;-5
NABBER;202209032140;-5
NABBER;202209032150;-6
NABBER;202209032200;-5
NABBER;202209032210;-6
NABBER;202209032220;-5
NABBER;202209032230;-5
NABBER;202209032240;-5
NABBER;202209032250;-5
NABBER;202209032300;-5
NABBER;202209032310;-5
NABBER;202209032320;-5
NABBER;202209032330;-5
NABBER;202209032340;-5
NABBER;202209032350;-5
NABBER;202209040000;-5
NABBER;202209040010;-5
NABBER;202209040020;-6
NABBER;202209040030;-6
NABBER;202209040040;-6
NABBER;202209040050;-6
NABBER;202209040100;-6
NABBER;202209040110;-5
NABBER;202209040120;-5
NABBER;202209040130;-6
NABBER;202209040140;-5
NABBER;202209040150;-6
NABBER;202209040200;-5
NABBER;202209040210;-4
NABBER;202209040220;-5
NABBER;202209040230;-6
NABBER;202209040240;-6
NABBER;202209040250;-6
NABBER;202209040300;-5
NABBER;202209040310;-4
NABBER;202209040320;-4
NABBER;202209040330;-5
NABBER;202209040340;-5
NABBER;202209040350;-6
NABBER;202209040400;-6
NABBER;202209040410;-6
NABBER;202209040420;-6
NABBER;202209040430;-6
NABBER;202209040440;-5
